Player,Weekly Wage
Tariq Lamptey,"35000"
Jarrad Branthwaite,"35000"
Ryan John Giles,"35000"
Andrew Omobamidele,"35000"
Harry Toffolo,"35000"
Matz Sels,"35000"
Nicolás Domínguez,"35000"
Bobby Reid,"35000"
Harry Wilson,"35000"
Lyle Foster,"32500"
Fodé Ballo-Touré,"32500"
Marquinhos,"30000"
Anel Ahmedhodžić,"30000"
Cameron Archer,"30000"
Gustavo Hamer,"30000"
Tom Davies,"30000"
Vinicius Souza,"30000"
Ionuț Radu,"30000"
Lloyd Kelly,"30000"
Milos Kerkez,"30000"
Jhon Durán,"30000"
João Gomes,"30000"
Santiago Bueno,"30000"
Charlie Taylor,"30000"
Connor Roberts,"30000"
David Datro Fofana,"30000"
Zeki Amdouni,"30000"
Elliot Anderson,"30000"
Aaron Hickey,"30000"
Ethan Pinnock,"30000"
Mark Flekken,"30000"
Mikkel Damsgaard,"30000"
Nathan Collins,"30000"
Vitaly Janelt,"30000"
Evan Ferguson,"30000"
Jan Paul van Hecke,"30000"
James Garner,"30000"
Youssef Chermiti,"30000"
Jacob Brown,"30000"
Marvelous Nakamba,"30000"
Ross Barkley,"30000"
Tahith Chong,"30000"
Danilo,"30000"
Murillo,"30000"
Nuno Tavares,"30000"
Orel Mangala,"30000"
Tim Ream,"30000"
Tom Cairney,"30000"
Scott Carson,"30000"
Amadou Diallo,"28846"
Nathan Patterson,"28000"
Adam Davies,"25000"
Auston Trusty,"25000"
Ivo Grbić,"25000"
Jack Robinson,"25000"
John Fleck,"25000"
Oliver McBurnie,"25000"
Alejo Véliz,"25000"
Jordan Ayew,"25000"
Nathan Ferguson,"25000"
Darren Randolph,"25000"
Illia Zabarnyi,"25000"
Aaron Ramsey,"25000"
Arijanet Muric,"25000"
Benson Manuel,"25000"
James Trafford,"25000"
Vitinho,"25000"
Thomas Strakosha,"25000"
Yoane Wissa,"25000"
Mathias Jørgensen,"25000"
Đorđe Petrović,"25000"
Valentín Barco,"25000"
Dwight McNeil,"25000"
Thomas Kaminski,"25000"
Tim Krul,"25000"
Anthony Elanga,"25000"
Gonzalo Montiel,"25000"
Ryan Yates,"25000"
Rico Lewis,"25000"
Djed Spence,"25000"
Isaac Hayden,"22000"
Facundo Pellistri,"20000"
Ben Osborn,"20000"
Jayden Bogle,"20000"
Jordan Amissah,"20000"
Oliver Norwood,"20000"
Naouirou Ahamada,"20000"
Antoine Semenyo,"20000"
Ben Johnson,"20000"
Morgan Rogers,"20000"
Enso González,"20000"
Dara O'Shea,"20000"
Hjalmar Ekdal,"20000"
Ivan Toney,"20000"
Josh Dasilva,"20000"
Mads Roerslev,"20000"
Ian Maatsen,"20000"
