Player,Weekly Wage
Armando Broja,"40,000"
Deivid Washington,"40,000"
Ashley Young,"40,000"
Gio Reyna,"40,000"
Matt Turner,"40,000"
Ola Aina,"40,000"
Willy Boly,"40,000"
Carlos Vin’cius,"40,000"
Tosin Adarabioyo,"40,000"
Altay Bayõndõr,"35,000"
Ben Brereton,"35,000"
Rhian Brewster,"35,000"
Adam Wharton,"35,000"
Joel Ward,"35,000"
Will Hughes,"35,000"
Adam Smith,"35,000"
Chris Mepham,"35,000"
Dango Ouattara,"35,000"
Marcus Tavernier,"35,000"
Max Aarons,"35,000"
Romain Faivre,"35,000"
Ryan Fredericks,"35,000"
Vladim’r Coufal,"35,000"
çlex Moreno,"35,000"
Jean-Ricner Bellegarde,"35,000"
Jonny Castro,"35,000"
Sasa Kalajdzic,"35,000"
Jacob Bruun Larsen,"35,000"
J—hann Berg Gu_mundsson,"35,000"
Nathan Redmond,"35,000"
Jacob Murphy,"35,000"
Javier Manquillo,"35,000"
Paul Dummett,"35,000"
Christian N¿rgaard,"35,000"
Keane Lewis-Potter,"35,000"
Rico Henry,"35,000"
Marcus Bettinelli,"35,000"
Bart Verbruggen,"35,000"
Tariq Lamptey,"35,000"
Jarrad Branthwaite,"35,000"
Ryan John Giles,"35,000"
Andrew Omobamidele,"35,000"
Harry Toffolo,"35,000"
Matz Sels,"35,000"
Nicol‡s Dom’nguez,"35,000"
Bobby Reid,"35,000"
Harry Wilson,"35,000"
Lyle Foster,"32,500"
FodŽ Ballo-TourŽ,"32,500"
Marquinhos,"30,000"
Anel Ahmedhod_i_,"30,000"
Cameron Archer,"30,000"
Gustavo Hamer,"30,000"
Tom Davies,"30,000"
Vinicius Souza,"30,000"
Ionu_ Radu,"30,000"
Lloyd Kelly,"30,000"
Milos Kerkez,"30,000"
Jhon Dur‡n,"30,000"
Jo‹o Gomes,"30,000"
Santiago Bueno,"30,000"
Charlie Taylor,"30,000"
Connor Roberts,"30,000"
David Datro Fofana,"30,000"
Zeki Amdouni,"30,000"
Elliot Anderson,"30,000"
Aaron Hickey,"30,000"
Ethan Pinnock,"30,000"
Mark Flekken,"30,000"
Mikkel Damsgaard,"30,000"
Nathan Collins,"30,000"
Vitaly Janelt,"30,000"
Evan Ferguson,"30,000"
Jan Paul van Hecke,"30,000"
James Garner,"30,000"
Youssef Chermiti,"30,000"
Jacob Brown,"30,000"
Marvelous Nakamba,"30,000"
Ross Barkley,"30,000"
Tahith Chong,"30,000"
Danilo,"30,000"
Murillo,"30,000"
Nuno Tavares,"30,000"
Orel Mangala,"30,000"
Tim Ream,"30,000"
Tom Cairney,"30,000"
Scott Carson,"30,000"
Amadou Diallo,"28,846"
Nathan Patterson,"28,000"
Adam Davies,"25,000"
Auston Trusty,"25,000"
Ivo Grbi_,"25,000"
Jack Robinson,"25,000"
John Fleck,"25,000"
Oliver McBurnie,"25,000"
Alejo VŽliz,"25,000"
Jordan Ayew,"25,000"
Nathan Ferguson,"25,000"
Darren Randolph,"25,000"
Illia Zabarnyi,"25,000"
Aaron Ramsey,"25,000"
Arijanet Muric,"25,000"
Benson Manuel,"25,000"
James Trafford,"25,000"
Vitinho,"25,000"
Thomas Strakosha,"25,000"
Yoane Wissa,"25,000"
Mathias J¿rgensen,"25,000"
_or_e Petrovi_,"25,000"
Valent’n Barco,"25,000"
Dwight McNeil,"25,000"
Thomas Kaminski,"25,000"
Tim Krul,"25,000"
Anthony Elanga,"25,000"
Gonzalo Montiel,"25,000"
Ryan Yates,"25,000"
Rico Lewis,"25,000"
Djed Spence,"25,000"
Isaac Hayden,"22,000"
Facundo Pellistri,"20,000"
