Player,Cmp,Att_Total,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,P_Final3rd,PPA,CrsPA,PrP
Andrey Santos,6,6,100,90,31,0,0,0,0,0,1,0,0,0
Matz Sels,263,378,69.6,7675,5788,0,0.1,0.1,-0.1,1,14,3,0,0
James Shea,6,9,66.7,239,215,0,0,0,0,0,1,0,0,0
Jason Steele,570,673,84.7,12217,8275,0,0,0,0,0,3,0,0,0
Thomas Strakosha,52,71,73.2,1509,977,0,0,0,0,0,1,0,0,0
Jimi Tauriainen,0,0,,0,0,0,0,0,0,0,0,0,0,0
Bertrand Traoré,2,3,66.7,15,0,0,0,0,0,0,0,0,0,0
Mark Travers,67,118,56.8,2248,1616,0,0,0,0,0,5,0,0,0
Matt Turner,398,578,68.9,12363,9869,0,0,0,0,0,10,0,0,0
Lewis Warrington,2,2,100,53,0,0,0,0,0,0,0,0,0,0
Deivid Washington,1,1,100,25,0,0,0,0,0,0,0,0,0,0
Ethan Wheatley,0,,,,,,,,,,,,,
